Period,Year,Quarter,Region,Category,Channel,Revenue,COGS,OpEx,Net Profit,Budget,Variance
Mar 2025,2025,Q1,"Asia-Pacific","Cloud Services","Partner Network",62397,23987,15115,23295,66891,-4494
Mar 2025,2025,Q1,"Asia-Pacific","Consumer Electronics","Partner Network",35468,26588,8761,119,37481,-2013
Mar 2025,2025,Q1,"Asia-Pacific","Accessories","Partner Network",19290,10340,4654,4296,20559,-1269
Mar 2025,2025,Q1,"Latin America","Hardware","Enterprise Direct",42223,28643,10330,3250,43125,-902
Mar 2025,2025,Q1,"Latin America","Enterprise Software","Enterprise Direct",56706,17742,12930,26034,57034,-328
Mar 2025,2025,Q1,"Latin America","Cloud Services","Enterprise Direct",78932,28469,17536,32927,79845,-913
Mar 2025,2025,Q1,"Latin America","Consumer Electronics","Enterprise Direct",32672,23618,7330,1724,32371,301
Mar 2025,2025,Q1,"Latin America","Accessories","Enterprise Direct",17548,8875,3800,4873,16631,917
Mar 2025,2025,Q1,"Latin America","Hardware","Retail Stores",38007,24530,7617,5860,37204,803
Mar 2025,2025,Q1,"Latin America","Enterprise Software","Retail Stores",50369,12788,10682,26899,54013,-3644
Mar 2025,2025,Q1,"Latin America","Cloud Services","Retail Stores",63384,21514,15664,26206,60950,2434
Mar 2025,2025,Q1,"Latin America","Consumer Electronics","Retail Stores",30168,22812,6202,1154,29532,636
Mar 2025,2025,Q1,"Latin America","Accessories","Retail Stores",19715,9479,4182,6054,19097,618
Mar 2025,2025,Q1,"Latin America","Hardware","Online / E-Commerce",34521,22075,7189,5257,35327,-806
Mar 2025,2025,Q1,"Latin America","Enterprise Software","Online / E-Commerce",49228,13012,11261,24955,52327,-3099
Mar 2025,2025,Q1,"Latin America","Cloud Services","Online / E-Commerce",66135,23919,16111,26105,69080,-2945
Mar 2025,2025,Q1,"Latin America","Consumer Electronics","Online / E-Commerce",32788,24639,7761,388,33998,-1210
Mar 2025,2025,Q1,"Latin America","Accessories","Online / E-Commerce",19409,10137,4539,4733,20501,-1092
Mar 2025,2025,Q1,"Latin America","Hardware","Partner Network",40306,26943,9718,3645,38887,1419
Mar 2025,2025,Q1,"Latin America","Enterprise Software","Partner Network",54800,16886,11333,26581,58987,-4187
Mar 2025,2025,Q1,"Latin America","Cloud Services","Partner Network",77682,25821,19316,32545,74364,3318
Mar 2025,2025,Q1,"Latin America","Consumer Electronics","Partner Network",29340,22246,5985,1109,27195,2145
Mar 2025,2025,Q1,"Latin America","Accessories","Partner Network",19847,9500,3822,6525,20994,-1147
Mar 2025,2025,Q1,"Middle East & Africa","Hardware","Enterprise Direct",34220,20992,8270,4958,35262,-1042
Mar 2025,2025,Q1,"Middle East & Africa","Enterprise Software","Enterprise Direct",44228,13662,10235,20331,42241,1987
Mar 2025,2025,Q1,"Middle East & Africa","Cloud Services","Enterprise Direct",77881,28444,15822,33615,72341,5540
Mar 2025,2025,Q1,"Middle East & Africa","Consumer Electronics","Enterprise Direct",33207,23163,6420,3624,32157,1050
Mar 2025,2025,Q1,"Middle East & Africa","Accessories","Enterprise Direct",15897,7383,3309,5205,14670,1227
Mar 2025,2025,Q1,"Middle East & Africa","Hardware","Retail Stores",32238,20445,6159,5634,30601,1637
Mar 2025,2025,Q1,"Middle East & Africa","Enterprise Software","Retail Stores",48214,11639,9689,26886,49917,-1703
Mar 2025,2025,Q1,"Middle East & Africa","Cloud Services","Retail Stores",60097,19508,14017,26572,60603,-506
Mar 2025,2025,Q1,"Middle East & Africa","Consumer Electronics","Retail Stores",28423,20967,6343,1113,26514,1909
Mar 2025,2025,Q1,"Middle East & Africa","Accessories","Retail Stores",18510,9333,3606,5571,19314,-804
Mar 2025,2025,Q1,"Middle East & Africa","Hardware","Online / E-Commerce",37787,23293,8929,5565,40450,-2663
Mar 2025,2025,Q1,"Middle East & Africa","Enterprise Software","Online / E-Commerce",44800,13517,11040,20243,42847,1953
Mar 2025,2025,Q1,"Middle East & Africa","Cloud Services","Online / E-Commerce",75989,29274,15475,31240,81793,-5804
Mar 2025,2025,Q1,"Middle East & Africa","Consumer Electronics","Online / E-Commerce",35565,24831,8843,1891,37803,-2238
Mar 2025,2025,Q1,"Middle East & Africa","Accessories","Online / E-Commerce",15941,8579,3883,3479,16542,-601
Mar 2025,2025,Q1,"Middle East & Africa","Hardware","Partner Network",42527,28981,9958,3588,40241,2286
Mar 2025,2025,Q1,"Middle East & Africa","Enterprise Software","Partner Network",57302,17125,11452,28725,60445,-3143
Mar 2025,2025,Q1,"Middle East & Africa","Cloud Services","Partner Network",75237,24311,18100,32826,77544,-2307
Mar 2025,2025,Q1,"Middle East & Africa","Consumer Electronics","Partner Network",28248,21113,6539,596,29096,-848
Mar 2025,2025,Q1,"Middle East & Africa","Accessories","Partner Network",19145,9866,4428,4851,18054,1091
Apr 2025,2025,Q2,"North America","Hardware","Enterprise Direct",68844,45782,13675,9387,72784,-3940
Apr 2025,2025,Q2,"North America","Enterprise Software","Enterprise Direct",94744,23829,22877,48038,96057,-1313
Apr 2025,2025,Q2,"North America","Cloud Services","Enterprise Direct",109830,41583,24733,43514,103675,6155
Apr 2025,2025,Q2,"North America","Consumer Electronics","Enterprise Direct",60872,44250,12113,4509,63082,-2210
Apr 2025,2025,Q2,"North America","Accessories","Enterprise Direct",31170,14712,7282,9176,33430,-2260
Apr 2025,2025,Q2,"North America","Hardware","Retail Stores",58260,38927,14401,4932,58600,-340
Apr 2025,2025,Q2,"North America","Enterprise Software","Retail Stores",95800,30296,21286,44218,94681,1119
Apr 2025,2025,Q2,"North America","Cloud Services","Retail Stores",139681,49296,30118,60267,140846,-1165
Apr 2025,2025,Q2,"North America","Consumer Electronics","Retail Stores",55575,39690,12400,3485,56988,-1413
Apr 2025,2025,Q2,"North America","Accessories","Retail Stores",29715,14981,6821,7913,29155,560
Apr 2025,2025,Q2,"North America","Hardware","Online / E-Commerce",66118,43817,14079,8222,65664,454
Apr 2025,2025,Q2,"North America","Enterprise Software","Online / E-Commerce",93969,25426,20431,48112,100847,-6878
Apr 2025,2025,Q2,"North America","Cloud Services","Online / E-Commerce",118624,41111,29353,48160,109181,9443
Apr 2025,2025,Q2,"North America","Consumer Electronics","Online / E-Commerce",54266,41057,10319,2890,56461,-2195
Apr 2025,2025,Q2,"North America","Accessories","Online / E-Commerce",34549,15899,8125,10525,35213,-664
Apr 2025,2025,Q2,"North America","Hardware","Partner Network",55383,37119,12583,5681,59511,-4128
Apr 2025,2025,Q2,"North America","Enterprise Software","Partner Network",96495,27945,23926,44624,91044,5451
Apr 2025,2025,Q2,"North America","Cloud Services","Partner Network",127395,49336,25328,52731,131961,-4566
Apr 2025,2025,Q2,"North America","Consumer Electronics","Partner Network",62657,43343,14627,4687,66784,-4127
Apr 2025,2025,Q2,"North America","Accessories","Partner Network",27162,14068,6647,6447,25159,2003
Apr 2025,2025,Q2,"Europe","Hardware","Enterprise Direct",54587,37279,10500,6808,57875,-3288
Apr 2025,2025,Q2,"Europe","Enterprise Software","Enterprise Direct",79178,19250,19207,40721,84803,-5625
Apr 2025,2025,Q2,"Europe","Cloud Services","Enterprise Direct",83257,31647,20535,31075,82376,881
Apr 2025,2025,Q2,"Europe","Consumer Electronics","Enterprise Direct",48071,36319,10385,1367,49675,-1604
Apr 2025,2025,Q2,"Europe","Accessories","Enterprise Direct",27050,13382,6289,7379,27572,-522
Apr 2025,2025,Q2,"Europe","Hardware","Retail Stores",50135,33424,11393,5318,48079,2056
Apr 2025,2025,Q2,"Europe","Enterprise Software","Retail Stores",74882,21690,15323,37869,72941,1941
Apr 2025,2025,Q2,"Europe","Cloud Services","Retail Stores",100115,32988,21052,46075,107338,-7223
Apr 2025,2025,Q2,"Europe","Consumer Electronics","Retail Stores",39872,28191,9851,1830,37326,2546
Apr 2025,2025,Q2,"Europe","Accessories","Retail Stores",22710,12174,4452,6084,22191,519
Apr 2025,2025,Q2,"Europe","Hardware","Online / E-Commerce",58069,35891,12277,9901,59787,-1718
Apr 2025,2025,Q2,"Europe","Enterprise Software","Online / E-Commerce",62034,16660,14336,31038,65216,-3182
Apr 2025,2025,Q2,"Europe","Cloud Services","Online / E-Commerce",92474,33734,22123,36617,91452,1022
Apr 2025,2025,Q2,"Europe","Consumer Electronics","Online / E-Commerce",45589,33993,9841,1755,45990,-401
Apr 2025,2025,Q2,"Europe","Accessories","Online / E-Commerce",26166,12938,5843,7385,27461,-1295
Apr 2025,2025,Q2,"Europe","Hardware","Partner Network",50090,32779,11949,5362,52179,-2089
Apr 2025,2025,Q2,"Europe","Enterprise Software","Partner Network",71636,21831,16880,32925,72338,-702
Apr 2025,2025,Q2,"Europe","Cloud Services","Partner Network",105583,39155,23616,42812,105966,-383
Apr 2025,2025,Q2,"Europe","Consumer Electronics","Partner Network",46570,33758,10309,2503,47073,-503
Apr 2025,2025,Q2,"Europe","Accessories","Partner Network",24308,12198,5446,6664,24716,-408
Apr 2025,2025,Q2,"Asia-Pacific","Hardware","Enterprise Direct",37453,24547,8475,4431,39792,-2339
Apr 2025,2025,Q2,"Asia-Pacific","Enterprise Software","Enterprise Direct",52290,15080,12729,24481,52576,-286
Apr 2025,2025,Q2,"Asia-Pacific","Cloud Services","Enterprise Direct",72476,27630,16093,28753,70520,1956
Apr 2025,2025,Q2,"Asia-Pacific","Consumer Electronics","Enterprise Direct",35093,25363,7365,2365,35083,10
Apr 2025,2025,Q2,"Asia-Pacific","Accessories","Enterprise Direct",17538,8532,3856,5150,16347,1191
Apr 2025,2025,Q2,"Asia-Pacific","Hardware","Retail Stores",35317,22951,6870,5496,33911,1406
Apr 2025,2025,Q2,"Asia-Pacific","Enterprise Software","Retail Stores",51225,12603,10505,28117,47149,4076
Apr 2025,2025,Q2,"Asia-Pacific","Cloud Services","Retail Stores",61319,20241,11660,29418,65005,-3686
Apr 2025,2025,Q2,"Asia-Pacific","Consumer Electronics","Retail Stores",29068,19772,7050,2246,27089,1979
Apr 2025,2025,Q2,"Asia-Pacific","Accessories","Retail Stores",14770,7829,2872,4069,14136,634
Apr 2025,2025,Q2,"Asia-Pacific","Hardware","Online / E-Commerce",41393,25497,8440,7456,40677,716
Apr 2025,2025,Q2,"Asia-Pacific","Enterprise Software","Online / E-Commerce",44712,11560,9547,23605,41749,2963
Apr 2025,2025,Q2,"Asia-Pacific","Cloud Services","Online / E-Commerce",64614,22056,12610,29948,62036,2578
Apr 2025,2025,Q2,"Asia-Pacific","Consumer Electronics","Online / E-Commerce",30395,20877,6232,3286,32076,-1681
Apr 2025,2025,Q2,"Asia-Pacific","Accessories","Online / E-Commerce",15203,7298,3660,4245,14620,583
Apr 2025,2025,Q2,"Asia-Pacific","Hardware","Partner Network",34417,23323,7077,4017,35460,-1043
Apr 2025,2025,Q2,"Asia-Pacific","Enterprise Software","Partner Network",56568,14754,13088,28726,57632,-1064
Apr 2025,2025,Q2,"Asia-Pacific","Cloud Services","Partner Network",65213,23813,14807,26593,62364,2849
Apr 2025,2025,Q2,"Asia-Pacific","Consumer Electronics","Partner Network",33199,24215,6760,2224,33091,108
Apr 2025,2025,Q2,"Asia-Pacific","Accessories","Partner Network",17972,8593,3932,5447,18395,-423
Apr 2025,2025,Q2,"Latin America","Hardware","Enterprise Direct",34153,22144,7815,4194,32114,2039
Apr 2025,2025,Q2,"Latin America","Enterprise Software","Enterprise Direct",50941,14864,10067,26010,53791,-2850
Apr 2025,2025,Q2,"Latin America","Cloud Services","Enterprise Direct",73371,23490,17681,32200,76249,-2878
Apr 2025,2025,Q2,"Latin America","Consumer Electronics","Enterprise Direct",27897,20866,6548,483,28264,-367
Apr 2025,2025,Q2,"Latin America","Accessories","Enterprise Direct",19181,9967,4315,4899,19758,-577
Apr 2025,2025,Q2,"Latin America","Hardware","Retail Stores",39936,26221,9236,4479,40158,-222
Apr 2025,2025,Q2,"Latin America","Enterprise Software","Retail Stores",52518,15495,11663,25360,53533,-1015
Apr 2025,2025,Q2,"Latin America","Cloud Services","Retail Stores",74228,26186,16868,31174,74661,-433
Apr 2025,2025,Q2,"Latin America","Consumer Electronics","Retail Stores",31740,23160,7052,1528,34156,-2416
Apr 2025,2025,Q2,"Latin America","Accessories","Retail Stores",17989,9047,4471,4471,19163,-1174
Apr 2025,2025,Q2,"Latin America","Hardware","Online / E-Commerce",37607,25876,9194,2537,39450,-1843
Apr 2025,2025,Q2,"Latin America","Enterprise Software","Online / E-Commerce",58569,18310,13962,26297,62494,-3925
Apr 2025,2025,Q2,"Latin America","Cloud Services","Online / E-Commerce",78863,29534,19332,29997,73836,5027
Apr 2025,2025,Q2,"Latin America","Consumer Electronics","Online / E-Commerce",34300,25845,6726,1729,32231,2069
Apr 2025,2025,Q2,"Latin America","Accessories","Online / E-Commerce",19541,9148,3857,6536,19641,-100
Apr 2025,2025,Q2,"Latin America","Hardware","Partner Network",32754,20302,7269,5183,33342,-588
Apr 2025,2025,Q2,"Latin America","Enterprise Software","Partner Network",45456,12844,10306,22306,45199,257
Apr 2025,2025,Q2,"Latin America","Cloud Services","Partner Network",70938,25465,15456,30017,68794,2144
Apr 2025,2025,Q2,"Latin America","Consumer Electronics","Partner Network",32471,23287,6776,2408,33633,-1162
Apr 2025,2025,Q2,"Latin America","Accessories","Partner Network",17176,8328,4009,4839,16598,578
Apr 2025,2025,Q2,"Middle East & Africa","Hardware","Enterprise Direct",35092,23438,7278,4376,33725,1367
Apr 2025,2025,Q2,"Middle East & Africa","Enterprise Software","Enterprise Direct",54692,14394,11233,29065,54850,-158
Apr 2025,2025,Q2,"Middle East & Africa","Cloud Services","Enterprise Direct",65835,21760,14555,29520,68616,-2781
Apr 2025,2025,Q2,"Middle East & Africa","Consumer Electronics","Enterprise Direct",29118,21007,6867,1244,31040,-1922
Apr 2025,2025,Q2,"Middle East & Africa","Accessories","Enterprise Direct",17454,9096,4272,4086,16581,873
Apr 2025,2025,Q2,"Middle East & Africa","Hardware","Retail Stores",40146,27420,8079,4647,40904,-758
Apr 2025,2025,Q2,"Middle East & Africa","Enterprise Software","Retail Stores",57595,14687,13079,29829,53604,3991
Apr 2025,2025,Q2,"Middle East & Africa","Cloud Services","Retail Stores",63679,22889,12355,28435,68287,-4608
Apr 2025,2025,Q2,"Middle East & Africa","Consumer Electronics","Retail Stores",32526,22292,8038,2196,32372,154
Apr 2025,2025,Q2,"Middle East & Africa","Accessories","Retail Stores",15105,8099,3296,3710,16136,-1031
Apr 2025,2025,Q2,"Middle East & Africa","Hardware","Online / E-Commerce",42247,27361,10376,4510,41898,349
Apr 2025,2025,Q2,"Middle East & Africa","Enterprise Software","Online / E-Commerce",50798,15957,11018,23823,50087,711
Apr 2025,2025,Q2,"Middle East & Africa","Cloud Services","Online / E-Commerce",79258,27413,17021,34824,73202,6056
Apr 2025,2025,Q2,"Middle East & Africa","Consumer Electronics","Online / E-Commerce",30927,22051,5918,2958,31389,-462
Apr 2025,2025,Q2,"Middle East & Africa","Accessories","Online / E-Commerce",16905,7807,3814,5284,16666,239
Apr 2025,2025,Q2,"Middle East & Africa","Hardware","Partner Network",31870,20954,6842,4074,29384,2486
Apr 2025,2025,Q2,"Middle East & Africa","Enterprise Software","Partner Network",52689,14380,10051,28258,56655,-3966
Apr 2025,2025,Q2,"Middle East & Africa","Cloud Services","Partner Network",68402,21273,16979,30150,71823,-3421
Apr 2025,2025,Q2,"Middle East & Africa","Consumer Electronics","Partner Network",26820,20320,6403,97,26386,434
Apr 2025,2025,Q2,"Middle East & Africa","Accessories","Partner Network",19810,10400,4238,5172,19625,185
May 2025,2025,Q2,"North America","Hardware","Enterprise Direct",71206,45708,15416,10082,67339,3867
May 2025,2025,Q2,"North America","Enterprise Software","Enterprise Direct",86975,23947,17363,45665,89534,-2559
May 2025,2025,Q2,"North America","Cloud Services","Enterprise Direct",120812,39004,27911,53897,115618,5194
May 2025,2025,Q2,"North America","Consumer Electronics","Enterprise Direct",49376,36277,10067,3032,53227,-3851
May 2025,2025,Q2,"North America","Accessories","Enterprise Direct",32056,15339,7990,8727,33418,-1362
May 2025,2025,Q2,"North America","Hardware","Retail Stores",59852,41238,14121,4493,56107,3745
May 2025,2025,Q2,"North America","Enterprise Software","Retail Stores",102811,30972,20206,51633,99619,3192
May 2025,2025,Q2,"North America","Cloud Services","Retail Stores",132764,42313,27662,62789,140381,-7617
May 2025,2025,Q2,"North America","Consumer Electronics","Retail Stores",48523,34183,11719,2621,47770,753
May 2025,2025,Q2,"North America","Accessories","Retail Stores",28612,15127,6128,7357,26534,2078
May 2025,2025,Q2,"North America","Hardware","Online / E-Commerce",72103,46308,13899,11896,73920,-1817
May 2025,2025,Q2,"North America","Enterprise Software","Online / E-Commerce",87084,21222,19981,45881,85158,1926
May 2025,2025,Q2,"North America","Cloud Services","Online / E-Commerce",106226,38517,22489,45220,109967,-3741
May 2025,2025,Q2,"North America","Consumer Electronics","Online / E-Commerce",57570,40814,13426,3330,54405,3165
May 2025,2025,Q2,"North America","Accessories","Online / E-Commerce",29120,15073,5806,8241,28823,297
May 2025,2025,Q2,"North America","Hardware","Partner Network",69399,43201,15003,11195,66459,2940
May 2025,2025,Q2,"North America","Enterprise Software","Partner Network",80447,22116,16421,41910,74982,5465
May 2025,2025,Q2,"North America","Cloud Services","Partner Network",120619,39662,23464,57493,120836,-217
May 2025,2025,Q2,"North America","Consumer Electronics","Partner Network",50607,34718,11168,4721,48498,2109
May 2025,2025,Q2,"North America","Accessories","Partner Network",26511,13279,5418,7814,28093,-1582
May 2025,2025,Q2,"Europe","Hardware","Enterprise Direct",51323,32291,12439,6593,48403,2920
May 2025,2025,Q2,"Europe","Enterprise Software","Enterprise Direct",64967,20129,12906,31932,60336,4631
May 2025,2025,Q2,"Europe","Cloud Services","Enterprise Direct",107424,34542,20762,52120,111488,-4064
May 2025,2025,Q2,"Europe","Consumer Electronics","Enterprise Direct",38585,26406,9036,3143,40791,-2206
May 2025,2025,Q2,"Europe","Accessories","Enterprise Direct",20680,10731,4993,4956,19211,1469
May 2025,2025,Q2,"Europe","Hardware","Retail Stores",54778,37172,10592,7014,57667,-2889
May 2025,2025,Q2,"Europe","Enterprise Software","Retail Stores",78029,19077,18710,40242,75263,2766
May 2025,2025,Q2,"Europe","Cloud Services","Retail Stores",83748,31520,17311,34917,78204,5544
May 2025,2025,Q2,"Europe","Consumer Electronics","Retail Stores",47464,33333,9264,4867,49593,-2129
May 2025,2025,Q2,"Europe","Accessories","Retail Stores",22283,10404,5277,6602,24045,-1762
May 2025,2025,Q2,"Europe","Hardware","Online / E-Commerce",44802,30126,11185,3491,47692,-2890
May 2025,2025,Q2,"Europe","Enterprise Software","Online / E-Commerce",76400,24412,18656,33332,75968,432
May 2025,2025,Q2,"Europe","Cloud Services","Online / E-Commerce",110939,42407,24172,44360,119617,-8678
May 2025,2025,Q2,"Europe","Consumer Electronics","Online / E-Commerce",48418,34724,12072,1622,49166,-748
May 2025,2025,Q2,"Europe","Accessories","Online / E-Commerce",23617,12732,5333,5552,23704,-87
May 2025,2025,Q2,"Europe","Hardware","Partner Network",58652,38577,12985,7090,57642,1010
May 2025,2025,Q2,"Europe","Enterprise Software","Partner Network",72516,20438,15485,36593,76231,-3715
May 2025,2025,Q2,"Europe","Cloud Services","Partner Network",97284,33212,23272,40800,98708,-1424
May 2025,2025,Q2,"Europe","Consumer Electronics","Partner Network",41798,31165,9425,1208,41333,465
May 2025,2025,Q2,"Europe","Accessories","Partner Network",26163,13273,5647,7243,25333,830
May 2025,2025,Q2,"Asia-Pacific","Hardware","Enterprise Direct",38221,24631,7954,5636,40306,-2085
May 2025,2025,Q2,"Asia-Pacific","Enterprise Software","Enterprise Direct",50183,13256,12067,24860,48883,1300
May 2025,2025,Q2,"Asia-Pacific","Cloud Services","Enterprise Direct",66089,24934,13898,27257,70423,-4334
May 2025,2025,Q2,"Asia-Pacific","Consumer Electronics","Enterprise Direct",34627,24483,8469,1675,32957,1670
May 2025,2025,Q2,"Asia-Pacific","Accessories","Enterprise Direct",16517,8800,3335,4382,16725,-208
May 2025,2025,Q2,"Asia-Pacific","Hardware","Retail Stores",41774,26146,9387,6241,38976,2798
May 2025,2025,Q2,"Asia-Pacific","Enterprise Software","Retail Stores",46620,13347,9085,24188,49474,-2854
May 2025,2025,Q2,"Asia-Pacific","Cloud Services","Retail Stores",71924,22764,17474,31686,66595,5329
May 2025,2025,Q2,"Asia-Pacific","Consumer Electronics","Retail Stores",27468,20618,5280,1570,25753,1715
May 2025,2025,Q2,"Asia-Pacific","Accessories","Retail Stores",19352,8959,3804,6589,19358,-6
May 2025,2025,Q2,"Asia-Pacific","Hardware","Online / E-Commerce",32032,19821,7051,5160,32277,-245
May 2025,2025,Q2,"Asia-Pacific","Enterprise Software","Online / E-Commerce",45253,12678,10085,22490,47552,-2299
May 2025,2025,Q2,"Asia-Pacific","Cloud Services","Online / E-Commerce",70307,24876,16807,28624,64835,5472
May 2025,2025,Q2,"Asia-Pacific","Consumer Electronics","Online / E-Commerce",31863,23751,6080,2032,31967,-104
May 2025,2025,Q2,"Asia-Pacific","Accessories","Online / E-Commerce",19014,8767,4206,6041,19309,-295
May 2025,2025,Q2,"Asia-Pacific","Hardware","Partner Network",31772,20704,7175,3893,30248,1524
May 2025,2025,Q2,"Asia-Pacific","Enterprise Software","Partner Network",51567,14839,10417,26311,54186,-2619
May 2025,2025,Q2,"Asia-Pacific","Cloud Services","Partner Network",72313,23575,17286,31452,77340,-5027
May 2025,2025,Q2,"Asia-Pacific","Consumer Electronics","Partner Network",28588,21309,7035,244,27239,1349
May 2025,2025,Q2,"Asia-Pacific","Accessories","Partner Network",19013,10167,3846,5000,20322,-1309
May 2025,2025,Q2,"Latin America","Hardware","Enterprise Direct",42049,26340,10336,5373,39208,2841
May 2025,2025,Q2,"Latin America","Enterprise Software","Enterprise Direct",46719,14689,9095,22935,47106,-387
May 2025,2025,Q2,"Latin America","Cloud Services","Enterprise Direct",79335,25087,17700,36548,82951,-3616
May 2025,2025,Q2,"Latin America","Consumer Electronics","Enterprise Direct",27434,19866,6504,1064,27643,-209
May 2025,2025,Q2,"Latin America","Accessories","Enterprise Direct",17630,9217,3929,4484,17443,187
May 2025,2025,Q2,"Latin America","Hardware","Retail Stores",40379,26400,8723,5256,42324,-1945
May 2025,2025,Q2,"Latin America","Enterprise Software","Retail Stores",51984,14281,12375,25328,55319,-3335
May 2025,2025,Q2,"Latin America","Cloud Services","Retail Stores",68873,25764,16809,26300,68931,-58
May 2025,2025,Q2,"Latin America","Consumer Electronics","Retail Stores",34250,25759,7546,945,36726,-2476
May 2025,2025,Q2,"Latin America","Accessories","Retail Stores",19448,9732,4806,4910,19157,291
May 2025,2025,Q2,"Latin America","Hardware","Online / E-Commerce",37259,25565,7988,3706,34661,2598
May 2025,2025,Q2,"Latin America","Enterprise Software","Online / E-Commerce",58200,15861,11282,31057,54723,3477
May 2025,2025,Q2,"Latin America","Cloud Services","Online / E-Commerce",68298,21523,13495,33280,70656,-2358
May 2025,2025,Q2,"Latin America","Consumer Electronics","Online / E-Commerce",27306,18845,6361,2100,28236,-930
May 2025,2025,Q2,"Latin America","Accessories","Online / E-Commerce",15415,7974,3588,3853,16272,-857
May 2025,2025,Q2,"Latin America","Hardware","Partner Network",39608,26419,9540,3649,42734,-3126
May 2025,2025,Q2,"Latin America","Enterprise Software","Partner Network",54525,16783,13609,24133,55205,-680
May 2025,2025,Q2,"Latin America","Cloud Services","Partner Network",77593,30219,17433,29941,74441,3152
May 2025,2025,Q2,"Latin America","Consumer Electronics","Partner Network",36062,26189,7384,2489,34695,1367
May 2025,2025,Q2,"Latin America","Accessories","Partner Network",17766,8522,3656,5588,18818,-1052
May 2025,2025,Q2,"Middle East & Africa","Hardware","Enterprise Direct",34367,21687,8324,4356,34315,52
May 2025,2025,Q2,"Middle East & Africa","Enterprise Software","Enterprise Direct",47610,14740,10447,22423,45293,2317
May 2025,2025,Q2,"Middle East & Africa","Cloud Services","Enterprise Direct",78066,27264,15750,35052,76730,1336
May 2025,2025,Q2,"Middle East & Africa","Consumer Electronics","Enterprise Direct",31324,21791,6690,2843,33450,-2126
May 2025,2025,Q2,"Middle East & Africa","Accessories","Enterprise Direct",15776,7753,3872,4151,16750,-974
May 2025,2025,Q2,"Middle East & Africa","Hardware","Retail Stores",36006,24626,8755,2625,35874,132
May 2025,2025,Q2,"Middle East & Africa","Enterprise Software","Retail Stores",57775,17960,12631,27184,60815,-3040
May 2025,2025,Q2,"Middle East & Africa","Cloud Services","Retail Stores",78400,27297,18795,32308,83974,-5574
May 2025,2025,Q2,"Middle East & Africa","Consumer Electronics","Retail Stores",31198,23283,7695,220,32786,-1588
May 2025,2025,Q2,"Middle East & Africa","Accessories","Retail Stores",19073,10215,4560,4298,18700,373
May 2025,2025,Q2,"Middle East & Africa","Hardware","Online / E-Commerce",42159,28476,8966,4717,41768,391
May 2025,2025,Q2,"Middle East & Africa","Enterprise Software","Online / E-Commerce",56145,15172,12157,28816,59255,-3110
May 2025,2025,Q2,"Middle East & Africa","Cloud Services","Online / E-Commerce",67691,23378,16298,28015,64503,3188
May 2025,2025,Q2,"Middle East & Africa","Consumer Electronics","Online / E-Commerce",30867,23079,6246,1542,28536,2331
May 2025,2025,Q2,"Middle East & Africa","Accessories","Online / E-Commerce",19163,9130,3673,6360,18928,235
May 2025,2025,Q2,"Middle East & Africa","Hardware","Partner Network",33916,20765,7305,5846,33421,495
May 2025,2025,Q2,"Middle East & Africa","Enterprise Software","Partner Network",43996,12049,9439,22508,44085,-89
May 2025,2025,Q2,"Middle East & Africa","Cloud Services","Partner Network",68649,23527,15155,29967,74138,-5489
May 2025,2025,Q2,"Middle East & Africa","Consumer Electronics","Partner Network",30554,22030,7638,886,30518,36
May 2025,2025,Q2,"Middle East & Africa","Accessories","Partner Network",17426,9410,3826,4190,16217,1209
Jun 2025,2025,Q2,"North America","Hardware","Enterprise Direct",74860,48615,14521,11724,71635,3225
Jun 2025,2025,Q2,"North America","Enterprise Software","Enterprise Direct",89495,21954,18243,49298,85019,4476
Jun 2025,2025,Q2,"North America","Cloud Services","Enterprise Direct",106970,35135,21527,50308,99959,7011
Jun 2025,2025,Q2,"North America","Consumer Electronics","Enterprise Direct",50532,35119,9875,5538,46767,3765
Jun 2025,2025,Q2,"North America","Accessories","Enterprise Direct",27531,12863,5288,9380,26051,1480
Jun 2025,2025,Q2,"North America","Hardware","Retail Stores",57099,34987,11411,10701,55033,2066
Jun 2025,2025,Q2,"North America","Enterprise Software","Retail Stores",77164,19532,15929,41703,72766,4398
Jun 2025,2025,Q2,"North America","Cloud Services","Retail Stores",110573,36700,21963,51910,112008,-1435
Jun 2025,2025,Q2,"North America","Consumer Electronics","Retail Stores",51244,35435,11523,4286,49585,1659
Jun 2025,2025,Q2,"North America","Accessories","Retail Stores",27134,13743,5640,7751,27426,-292
Jun 2025,2025,Q2,"North America","Hardware","Online / E-Commerce",66684,42265,14940,9479,64239,2445
Jun 2025,2025,Q2,"North America","Enterprise Software","Online / E-Commerce",84249,24044,17376,42829,81211,3038
Jun 2025,2025,Q2,"North America","Cloud Services","Online / E-Commerce",125452,41608,25903,57941,134177,-8725
Jun 2025,2025,Q2,"North America","Consumer Electronics","Online / E-Commerce",51194,35937,12598,2659,48722,2472
Jun 2025,2025,Q2,"North America","Accessories","Online / E-Commerce",28326,15148,5719,7459,26400,1926
Jun 2025,2025,Q2,"North America","Hardware","Partner Network",73589,46056,14314,13219,68109,5480
Jun 2025,2025,Q2,"North America","Enterprise Software","Partner Network",81571,20067,15668,45836,75582,5989
Jun 2025,2025,Q2,"North America","Cloud Services","Partner Network",107292,33558,20650,53084,112851,-5559
Jun 2025,2025,Q2,"North America","Consumer Electronics","Partner Network",47298,32318,11325,3655,50376,-3078
